rep,sub,trt,doy,code,PhV,CaV,CaP,CoF,OnH,OnM,OOP,DiG,MeN,CaE,CaP,OnP,OnO,CaVig,AtH,CaPr,PhD,abund,richness
1,3,bison,119,Bison_1_3_119,1,0,2,0,0,0,0,0,0,0,0,17,2,0,0,0,0,22,4
1,1,bison,119,Bison_1_1_119,2,0,0,0,14,0,1,0,3,0,0,24,1,0,0,0,0,45,6
1,2,bison,119,Bison_1_2_119,3,0,0,0,11,0,0,0,2,0,0,21,0,0,0,0,0,37,4
2,3,bison,119,Bison_2_3_119,0,0,0,0,4,1,0,0,8,0,0,7,0,0,0,0,0,20,4
2,1,bison,119,Bison_2_1_119,0,0,0,0,38,7,0,0,6,0,0,15,1,0,0,0,0,67,5
2,2,bison,119,Bison_2_2_119,0,0,0,5,73,6,2,0,1,0,0,17,0,0,0,0,0,104,6
3,3,bison,119,Bison_3_3_119,4,0,0,0,4,8,2,0,1,1,0,19,1,0,0,0,0,40,8
3,1,bison,119,Bison_3_1_119,0,0,0,0,13,0,2,0,7,1,0,64,2,0,0,0,0,89,6
3,2,bison,119,Bison_3_2_119,3,0,0,0,14,0,1,0,4,0,0,47,0,0,0,0,0,69,5
4,3,bison,119,Bison_4_3_119,36,1,5,0,14,4,6,0,26,3,0,980,140,0,0,0,0,1215,10
4,1,bison,119,Bison_4_1_119,17,0,3,1,29,10,0,0,7,0,0,61,6,0,0,0,0,134,8
4,2,bison,119,Bison_4_2_119,4,0,1,0,6,3,1,0,1,0,0,21,0,0,0,0,0,37,7
1,3,bison,140,Bison_1_3_140,35,4,120,2,24,4,1,0,5,4,1,679,112,0,1,0,0,992,13
1,1,bison,140,Bison_1_1_140,14,2,26,0,23,5,2,0,5,0,1,1447,38,0,0,0,0,1563,10
1,2,bison,140,Bison_1_2_140,27,2,89,1,14,2,1,0,5,7,1,823,87,0,0,0,0,1059,12
2,3,bison,140,Bison_2_3_140,22,37,15,2,1,33,5,0,64,5,0,293,25,0,0,0,0,502,11
2,1,bison,140,Bison_2_1_140,21,0,11,0,18,0,0,0,0,0,0,648,28,0,0,0,0,726,5
2,2,bison,140,Bison_2_2_140,17,12,20,14,137,26,9,0,37,0,0,2000,30,0,3,3,0,2308,12
